device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,delayed_flag
9,54,1970-01-01 02:00:51,2025-11-05 16:26:50,0,0,0
8,54,1970-01-01 02:00:51,2025-11-05 16:26:50,0,0,0
6,54,1970-01-01 02:00:51,2025-11-05 16:26:50,0,0,0
6,55,1970-01-01 02:00:52,2025-11-05 16:26:51,0,0,0
7,55,1970-01-01 02:00:52,2025-11-05 16:26:51,0,0,0
8,55,1970-01-01 02:00:52,2025-11-05 16:26:51,0,0,0
9,55,1970-01-01 02:00:52,2025-11-05 16:26:51,0,0,0
7,56,1970-01-01 02:00:53,2025-11-05 16:26:52,0,0,0
6,56,1970-01-01 02:00:53,2025-11-05 16:26:52,0,0,0
8,56,1970-01-01 02:00:53,2025-11-05 16:26:52,0,0,0
9,56,1970-01-01 02:00:53,2025-11-05 16:26:52,0,0,0
7,57,1970-01-01 02:00:54,2025-11-05 16:26:53,0,0,0
8,57,1970-01-01 02:00:54,2025-11-05 16:26:53,0,0,0
9,57,1970-01-01 02:00:54,2025-11-05 16:26:53,0,0,0
6,57,1970-01-01 02:00:54,2025-11-05 16:26:53,0,0,0
7,58,1970-01-01 02:00:55,2025-11-05 16:26:54,0,0,0
9,58,1970-01-01 02:00:55,2025-11-05 16:26:54,0,0,0
6,58,1970-01-01 02:00:55,2025-11-05 16:26:54,0,0,0
8,58,1970-01-01 02:00:55,2025-11-05 16:26:54,0,0,0
7,59,1970-01-01 02:00:56,2025-11-05 16:26:55,0,0,0
6,59,1970-01-01 02:00:56,2025-11-05 16:26:55,0,0,0
9,59,1970-01-01 02:00:56,2025-11-05 16:26:55,0,0,0
8,59,1970-01-01 02:00:56,2025-11-05 16:26:55,0,0,0
7,60,1970-01-01 02:00:57,2025-11-05 16:26:56,0,0,0
8,60,1970-01-01 02:00:57,2025-11-05 16:26:56,0,0,0
9,60,1970-01-01 02:00:57,2025-11-05 16:26:56,0,0,0
6,60,1970-01-01 02:00:57,2025-11-05 16:26:56,0,0,0
7,61,1970-01-01 02:00:58,2025-11-05 16:26:57,0,0,0
9,61,1970-01-01 02:00:58,2025-11-05 16:26:57,0,0,0
6,61,1970-01-01 02:00:58,2025-11-05 16:26:57,0,0,0
8,61,1970-01-01 02:00:58,2025-11-05 16:26:57,0,0,0
8,62,1970-01-01 02:00:59,2025-11-05 16:26:58,0,0,0
7,62,1970-01-01 02:00:59,2025-11-05 16:26:58,0,0,0
9,62,1970-01-01 02:00:59,2025-11-05 16:26:58,0,0,0
6,62,1970-01-01 02:00:59,2025-11-05 16:26:58,0,0,0
7,63,1970-01-01 02:01:00,2025-11-05 16:26:59,0,0,0
8,63,1970-01-01 02:01:00,2025-11-05 16:26:59,0,0,0
6,63,1970-01-01 02:01:00,2025-11-05 16:26:59,0,0,0
9,63,1970-01-01 02:01:00,2025-11-05 16:26:59,0,0,0
7,64,1970-01-01 02:01:01,2025-11-05 16:27:00,0,0,0
8,64,1970-01-01 02:01:01,2025-11-05 16:27:00,0,0,0
6,64,1970-01-01 02:01:01,2025-11-05 16:27:00,0,0,0
9,64,1970-01-01 02:01:01,2025-11-05 16:27:00,0,0,0
7,65,1970-01-01 02:01:02,2025-11-05 16:27:01,0,0,0
6,65,1970-01-01 02:01:02,2025-11-05 16:27:01,0,0,0
9,65,1970-01-01 02:01:02,2025-11-05 16:27:01,0,0,0
8,65,1970-01-01 02:01:02,2025-11-05 16:27:01,0,0,0
7,68,1970-01-01 02:01:06,2025-11-05 16:27:05,0,1,0
7,66,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
7,69,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
7,67,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
6,66,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
9,66,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
9,68,1970-01-01 02:01:06,2025-11-05 16:27:05,0,1,0
8,66,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
6,69,1970-01-01 02:01:06,2025-11-05 16:27:05,0,1,0
9,67,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
8,67,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
8,69,1970-01-01 02:01:06,2025-11-05 16:27:05,0,1,0
8,68,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
9,69,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,0
6,67,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
6,68,1970-01-01 02:01:06,2025-11-05 16:27:05,0,0,1
7,70,1970-01-01 02:01:07,2025-11-05 16:27:06,0,0,0
9,70,1970-01-01 02:01:07,2025-11-05 16:27:06,0,0,0
6,70,1970-01-01 02:01:07,2025-11-05 16:27:06,0,0,0
8,70,1970-01-01 02:01:07,2025-11-05 16:27:06,0,0,0
7,71,1970-01-01 02:01:08,2025-11-05 16:27:07,0,0,0
9,71,1970-01-01 02:01:08,2025-11-05 16:27:07,0,0,0
8,71,1970-01-01 02:01:08,2025-11-05 16:27:07,0,0,0
6,71,1970-01-01 02:01:08,2025-11-05 16:27:07,0,0,0
7,72,1970-01-01 02:01:09,2025-11-05 16:27:08,0,0,0
6,72,1970-01-01 02:01:09,2025-11-05 16:27:08,0,0,0
9,72,1970-01-01 02:01:09,2025-11-05 16:27:08,0,0,0
8,72,1970-01-01 02:01:09,2025-11-05 16:27:08,0,0,0
7,73,1970-01-01 02:01:10,2025-11-05 16:27:09,0,0,0
9,73,1970-01-01 02:01:10,2025-11-05 16:27:09,0,0,0
8,73,1970-01-01 02:01:10,2025-11-05 16:27:09,0,0,0
6,73,1970-01-01 02:01:10,2025-11-05 16:27:09,0,0,0
7,74,1970-01-01 02:01:11,2025-11-05 16:27:10,0,0,0
6,74,1970-01-01 02:01:11,2025-11-05 16:27:10,0,0,0
8,74,1970-01-01 02:01:11,2025-11-05 16:27:10,0,0,0
9,74,1970-01-01 02:01:11,2025-11-05 16:27:10,0,0,0
7,75,1970-01-01 02:01:12,2025-11-05 16:27:11,0,0,0
9,75,1970-01-01 02:01:12,2025-11-05 16:27:11,0,0,0
8,75,1970-01-01 02:01:12,2025-11-05 16:27:11,0,0,0
6,75,1970-01-01 02:01:12,2025-11-05 16:27:11,0,0,0
7,76,1970-01-01 02:01:13,2025-11-05 16:27:12,0,0,0
8,76,1970-01-01 02:01:13,2025-11-05 16:27:12,0,0,0
9,76,1970-01-01 02:01:13,2025-11-05 16:27:12,0,0,0
6,76,1970-01-01 02:01:13,2025-11-05 16:27:12,0,0,0
7,77,1970-01-01 02:01:14,2025-11-05 16:27:13,0,0,0
6,77,1970-01-01 02:01:14,2025-11-05 16:27:13,0,0,0
9,77,1970-01-01 02:01:14,2025-11-05 16:27:13,0,0,0
8,77,1970-01-01 02:01:14,2025-11-05 16:27:13,0,0,0
7,78,1970-01-01 02:01:15,2025-11-05 16:27:14,0,0,0
8,78,1970-01-01 02:01:15,2025-11-05 16:27:14,0,0,0
9,78,1970-01-01 02:01:15,2025-11-05 16:27:14,0,0,0
6,78,1970-01-01 02:01:15,2025-11-05 16:27:14,0,0,0
7,79,1970-01-01 02:01:16,2025-11-05 16:27:15,0,0,0
9,79,1970-01-01 02:01:16,2025-11-05 16:27:15,0,0,0
6,79,1970-01-01 02:01:16,2025-11-05 16:27:15,0,0,0
8,79,1970-01-01 02:01:16,2025-11-05 16:27:15,0,0,0
7,80,1970-01-01 02:01:17,2025-11-05 16:27:16,0,0,0
9,80,1970-01-01 02:01:17,2025-11-05 16:27:16,0,0,0
8,80,1970-01-01 02:01:17,2025-11-05 16:27:16,0,0,0
6,80,1970-01-01 02:01:17,2025-11-05 16:27:16,0,0,0
7,81,1970-01-01 02:01:18,2025-11-05 16:27:17,0,0,0
6,81,1970-01-01 02:01:18,2025-11-05 16:27:17,0,0,0
8,81,1970-01-01 02:01:18,2025-11-05 16:27:17,0,0,0
9,81,1970-01-01 02:01:18,2025-11-05 16:27:17,0,0,0
